
2024/06/15 (23:10:13) | ===> btop++ v.1.3.2
2024/06/15 (23:10:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/15 (23:10:34) | ===> btop++ v.1.3.2
2024/06/15 (23:10:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (00:47:50) | ===> btop++ v.1.3.2
2024/06/16 (00:47:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (10:34:11) | ===> btop++ v.1.3.2
2024/06/16 (10:34:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (15:38:59) | ===> btop++ v.1.3.2
2024/06/16 (15:38:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (17:35:44) | ===> btop++ v.1.3.2
2024/06/16 (17:35:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (18:52:54) | ===> btop++ v.1.3.2
2024/06/16 (18:52:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (19:33:03) | ===> btop++ v.1.3.2
2024/06/16 (19:33:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (20:46:53) | ===> btop++ v.1.3.2
2024/06/16 (20:46:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (21:06:10) | ===> btop++ v.1.3.2
2024/06/16 (21:06:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (16:56:47) | ===> btop++ v.1.3.2
2024/06/17 (16:56:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (01:01:02) | ===> btop++ v.1.3.2
2024/06/18 (01:01:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (17:32:23) | ===> btop++ v.1.3.2
2024/06/18 (17:32:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
